中远两湾城,73217元/m2,104套在售二手房
世茂滨江花园,93302元/m2,78套在售二手房
新领地,49962元/m2,31套在售二手房
奥林匹克花园,44093元/m2,114套在售二手房
中凯城市之光(静安),122897元/m2,31套在售二手房
上海康城,36178元/m2,138套在售二手房
浦发绿城,48755元/m2,56套在售二手房
上海绿城,95893元/m2,48套在售二手房
新湖明珠城,80811元/m2,28套在售二手房
仁恒滨江园,103432元/m2,42套在售二手房
万科城市花园,50540元/m2,54套在售二手房
绿洲康城亲水湾(中央区),52371元/m2,26套在售二手房
万邦都市花园,79767元/m2,38套在售二手房
绿地康桥新苑,46918元/m2,61套在售二手房
东方城市花园(二期),71226元/m2,36套在售二手房
上海滩大宁城(公寓),81504元/m2,16套在售二手房
仁恒河滨城,104837元/m2,72套在售二手房
慧芝湖花园,89211元/m2,42套在售二手房
达安花园,85608元/m2,35套在售二手房
天山河畔花园,85995元/m2,27套在售二手房
金谊河畔,66613元/m2,21套在售二手房
绿地新江桥城,42483元/m2,42套在售二手房
万科金色雅筑,75661元/m2,12套在售二手房
证大家园(公寓),74103元/m2,82套在售二手房
仁恒河滨花园,98840元/m2,28套在售二手房
国际丽都城,127385元/m2,24套在售二手房
浦江东旭公寓,49582元/m2,48套在售二手房
新世纪花苑(三期)(浦东),64086元/m2,12套在售二手房
金地湾流域(公寓),81314元/m2,14套在售二手房
环球翡翠湾花园(公寓),61107元/m2,14套在售二手房
联洋年华,88878元/m2,15套在售二手房
尚东国际名园,88326元/m2,5套在售二手房
瑞虹新城(一期),81103元/m2,23套在售二手房
上海滩花园,123146元/m2,11套在售二手房
兆丰帝景苑,99040元/m2,8套在售二手房
浦东世纪花园(公寓),92930元/m2,21套在售二手房
金桥湾清水苑,62578元/m2,51套在售二手房
龙湖蔚澜香醍,35220元/m2,18套在售二手房
保利金爵公寓,58160元/m2,39套在售二手房
新梅共和城,75898元/m2,25套在售二手房
三林安居苑,56479元/m2,24套在售二手房
天山华庭,91346元/m2,8套在售二手房
金沙雅苑(四期),70785元/m2,21套在售二手房
黄浦丽园,97000元/m2,7套在售二手房
汇豪天下,99088元/m2,12套在售二手房
水岸金桥苑,42759元/m2,31套在售二手房
宝华现代城,91314元/m2,12套在售二手房
弘辉名苑,90814元/m2,13套在售二手房
万科城花新园,65598元/m2,18套在售二手房
上青佳园,79164元/m2,19套在售二手房
陆家嘴中央公寓,102410元/m2,14套在售二手房
城市经典(四期),65810元/m2,18套在售二手房
毕加索小镇(一期)(公寓),54555元/m2,52套在售二手房
静安晶华园,107756元/m2,8套在售二手房
百汇园,112201元/m2,8套在售二手房
凯德嘉博名邸,84877元/m2,21套在售二手房
泰欣嘉园,89973元/m2,16套在售二手房
海尚康庭,39277元/m2,34套在售二手房
中海御景熙岸(公寓),53609元/m2,21套在售二手房
盛大花园,86096元/m2,12套在售二手房
印象春城,48918元/m2,40套在售二手房
中芯花园(公寓),61260元/m2,42套在售二手房
保利香槟苑,87372元/m2,6套在售二手房
中信泰富又一城,38202元/m2,19套在售二手房
瑞虹新城二期(优贤生活),94251元/m2,30套在售二手房
翠湖天地嘉苑,145393元/m2,17套在售二手房
徐汇世家花园,86480元/m2,5套在售二手房
江南名庐,84910元/m2,11套在售二手房
汇龙新城,103788元/m2,19套在售二手房
公园3000黄兴花园,85083元/m2,21套在售二手房
天山星城,95450元/m2,10套在售二手房
阳光威尼斯(四期)(公寓),47382元/m2,17套在售二手房
锦绣华都,52962元/m2,22套在售二手房
地杰国际城E欧泊时光,65442元/m2,20套在售二手房
新外滩花苑,92516元/m2,10套在售二手房
御翠豪庭,113673元/m2,28套在售二手房
绿庭尚城,44279元/m2,50套在售二手房
和源名城,55014元/m2,27套在售二手房
恒大华城天地苑,68086元/m2,14套在售二手房
三花现代城(一期丹桂苑),58595元/m2,16套在售二手房
铂金华府,71812元/m2,11套在售二手房
美岸栖庭(公寓),60351元/m2,27套在售二手房
陆家嘴国际华城,92931元/m2,8套在售二手房
中福花苑,94937元/m2,30套在售二手房
尚海湾豪庭,109503元/m2,27套在售二手房
新凯二期,36196元/m2,78套在售二手房
张江汤臣豪园(二期),83510元/m2,29套在售二手房
凯欣豪园,102077元/m2,38套在售二手房
徐家汇花园,92850元/m2,24套在售二手房
万科海上传奇,71446元/m2,9套在售二手房
保利西子湾,43311元/m2,73套在售二手房
上南花城,82434元/m2,14套在售二手房
梧桐城邦(二期),56323元/m2,37套在售二手房
骏豪国际,80561元/m2,21套在售二手房
美林小城,46342元/m2,26套在售二手房
大华颐和华城(公寓),62560元/m2,46套在售二手房
上海壹街区,105287元/m2,9套在售二手房
菊园,89274元/m2,20套在售二手房
盛世年华,115087元/m2,11套在售二手房
大华锦绣华城(一街区),74764元/m2,17套在售二手房
星河世纪城,63160元/m2,18套在售二手房
永泰花苑,54247元/m2,27套在售二手房
融创滨江壹号院,113877元/m2,33套在售二手房
天山怡景苑,88828元/m2,23套在售二手房
明园森林都市,72526元/m2,28套在售二手房
翠湖天地御苑,145678元/m2,26套在售二手房
静安枫景苑,119773元/m2,21套在售二手房
华沁家园,60705元/m2,26套在售二手房
香梅花园,84875元/m2,12套在售二手房
金橘新苑,62303元/m2,7套在售二手房
嘉利明珠城,78489元/m2,26套在售二手房
大唐盛世花园,101064元/m2,30套在售二手房
万科金色城市,76619元/m2,11套在售二手房
世华锦城,68130元/m2,12套在售二手房
远中风华园(公寓),127551元/m2,25套在售二手房
九城湖滨国际,47824元/m2,67套在售二手房
阳光花城,65467元/m2,31套在售二手房
淡水湾花园,121462元/m2,7套在售二手房
苏堤春晓名苑,87987元/m2,12套在售二手房
永业公寓,121368元/m2,9套在售二手房
和平花苑,76426元/m2,16套在售二手房
莱诗邸,109727元/m2,14套在售二手房
华润外滩九里,127647元/m2,28套在售二手房
士林华苑,98613元/m2,12套在售二手房
上海花城,71924元/m2,12套在售二手房
水语人家南苑,36077元/m2,23套在售二手房
精文城上城,72548元/m2,16套在售二手房
大华锦绣华城(十一街区),83757元/m2,23套在售二手房
龙盛佳苑,66557元/m2,19套在售二手房
锦秋花园(别墅),49350元/m2,14套在售二手房
翠湖天地雅苑,144908元/m2,11套在售二手房
绿地世纪城(二期),82056元/m2,15套在售二手房
虹浦新城南区,34915元/m2,22套在售二手房
海悦花园,100929元/m2,10套在售二手房
黄山始信苑,82625元/m2,18套在售二手房
中鹰黑森林,89079元/m2,17套在售二手房
阳城贵都,67175元/m2,16套在售二手房
丝庐花语,88150元/m2,10套在售二手房
林绿家园,70243元/m2,5套在售二手房
同济融创玫瑰公馆,62927元/m2,6套在售二手房
四季全景台,96796元/m2,7套在售二手房
春申景城湖滨晨韵,69401元/m2,20套在售二手房
未来域,61983元/m2,17套在售二手房
绿地香颂(浦东)(公寓),53100元/m2,16套在售二手房
金桥新城,59824元/m2,24套在售二手房
万科阳光苑,42180元/m2,41套在售二手房
汇宁花园,76859元/m2,4套在售二手房
愉景华庭,65747元/m2,17套在售二手房
新高苑(一至三期),48039元/m2,54套在售二手房
春天花园,86801元/m2,17套在售二手房
龙湖郦城,38650元/m2,16套在售二手房
东方曼哈顿,117200元/m2,23套在售二手房
大华清水湾,83636元/m2,10套在售二手房
绿地清猗园,47460元/m2,21套在售二手房
三林世博家园(大道站路94弄),50263元/m2,27套在售二手房
古北新城,66414元/m2,26套在售二手房
古北嘉年华庭,96622元/m2,21套在售二手房
张江汤臣豪园(三期),88749元/m2,10套在售二手房
名都城(公寓),64405元/m2,25套在售二手房
合生江湾国际公寓,78240元/m2,17套在售二手房
明日星城,91567元/m2,23套在售二手房
新城金郡,37692元/m2,80套在售二手房
爱家亚洲花园,73418元/m2,26套在售二手房
金杨新村五街坊,56546元/m2,48套在售二手房
中环一号(一期),53256元/m2,37套在售二手房
平江盛世家园,55998元/m2,28套在售二手房
花木苑,75698元/m2,44套在售二手房
江南星城,65565元/m2,36套在售二手房
万科假日风景(公寓),63993元/m2,53套在售二手房
东源名都,54070元/m2,32套在售二手房
张江汤臣豪园(四期),90368元/m2,12套在售二手房
江临天下,89832元/m2,16套在售二手房
耀江花园,122731元/m2,17套在售二手房
静安豪景苑,124868元/m2,15套在售二手房
万科金色里程(公寓),86659元/m2,10套在售二手房
